id,season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,venue
11313,2019,Mohali,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,KL Rahul,IS Bindra Stadium
11314,2019,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,7,DL Chahar,M. A. Chidambaram Stadium
11315,2019,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,3,KA Pollard,Wankhede Stadium
11316,2019,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,4,MS Dhoni,Sawai Mansingh Stadium
11317,2019,Kolkata,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,7,S Dhawan,Eden Gardens
11318,2019,Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,4,JC Buttler,Wankhede Stadium
11319,2019,Mohali,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8,AB de Villiers,IS Bindra Stadium
11320,2019,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,5,Imran Tahir,Eden Gardens
11321,2019,Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,39,0,K Paul,Rajiv Gandhi Intl. Cricket Stadium
11322,2019,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,5,SL Malinga,Wankhede Stadium
11323,2019,Mohali,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,12,0,R Ashwin,IS Bindra Stadium
11324,2019,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,0,6,DA Warner,Rajiv Gandhi Intl. Cricket Stadium
11325,2019,Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,40,0,HH Pandya,Feroz Shah Kotla Ground
11326,2019,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,10,0,V Kohli,Eden Gardens
11327,2019,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,5,SPD Smith,Sawai Mansingh Stadium
11328,2019,Delhi,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,5,SS Iyer,Feroz Shah Kotla Ground
11329,2019,Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,9,K Ahmed,Rajiv Gandhi Intl. Cricket Stadium
11330,2019,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,1,0,PA Patel,M. Chinnaswamy Stadium
11331,2019,Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,6,RR Pant,Sawai Mansingh Stadium
11332,2019,Chennai,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,6,SR Watson,M. A. Chidambaram Stadium
11333,2019,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,17,0,AB de Villiers,M. Chinnaswamy Stadium
11334,2019,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,3,VR Aaron,Eden Gardens
11335,2019,Chennai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,46,0,RG Sharma,M. A. Chidambaram Stadium
11336,2019,Jaipur,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,JD Unadkat,Sawai Mansingh Stadium
11337,2019,Delhi,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,16,0,S Dhawan,Feroz Shah Kotla Ground
11338,2019,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,34,0,AD Russell,Eden Gardens
11339,2019,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,45,0,DA Warner,Rajiv Gandhi Intl. Cricket Stadium
11340,2019,Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,0,0,,M. Chinnaswamy Stadium
11341,2019,Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,80,0,MS Dhoni,M. A. Chidambaram Stadium
11342,2019,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,0,0,JJ Bumrah,Wankhede Stadium
11343,2019,Mohali,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,S Gill,IS Bindra Stadium
11344,2019,Delhi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,0,5,A Mishra,Feroz Shah Kotla Ground
11345,2019,Bengaluru,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,4,S Hetmyer,M. Chinnaswamy Stadium
11346,2019,Mohali,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,6,KL Rahul,IS Bindra Stadium
11347,2019,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,9,HH Pandya,Wankhede Stadium
11412,2019,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,0,6,AS Yadav,M. A. Chidambaram Stadium
11413,2019,Visakhapatnam,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,2,RR Pant,ACA-VDCA Stadium
11414,2019,Visakhapatnam,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,6,F du Plessis,ACA-VDCA Stadium
11415,2019,Hyderabad,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,1,0,JJ Bumrah,Rajiv Gandhi Intl. Cricket Stadium
